Date,County_Name,State_Name,Confirmed,New,Death,Fatality_Rate,Last_Update,Latitude,Longitude,New_Death
2020-03-14,Knox,Tennessee,1,,0,0.0,2020-03-14 12:04 EDT,35.9956069,-83.934652,
2020-03-14,Hamilton,Tennessee,1,,0,0.0,2020-03-14 12:04 EDT,35.179320399999995,-85.16684140000001,
2020-03-14,Jefferson,Tennessee,1,,0,0.0,2020-03-14 12:04 EDT,36.0571754,-83.45179449999999,
2020-03-14,Rutherford,Tennessee,1,,0,0.0,2020-03-14 12:04 EDT,35.842743299999995,-86.4167525,
2020-03-14,Campbell,Tennessee,1,,0,0.0,2020-03-14 12:04 EDT,36.403456299999995,-84.1493609,
2020-03-14,Unassigned,Maryland,9,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,Prince George's,Maryland,7,,0,0.0,2020-03-14 12:04 EDT,38.828386200000004,-76.8458707,
2020-03-14,Montgomery,Maryland,6,,0,0.0,2020-03-14 12:04 EDT,39.1363682,-77.2040317,
2020-03-14,Baltimore,Maryland,2,,0,0.0,2020-03-14 12:04 EDT,39.29058,-76.60925999999999,
2020-03-14,Harford,Maryland,1,,0,0.0,2020-03-14 12:04 EDT,39.5544404,-76.31583959999999,
2020-03-14,Charles,Maryland,1,,0,0.0,2020-03-14 12:04 EDT,38.4741042,-77.0128671,
2020-03-14,Anne Arundel,Maryland,1,,0,0.0,2020-03-14 12:04 EDT,39.008897,-76.60328630000001,
2020-03-14,Carroll,Maryland,1,,0,0.0,2020-03-14 12:04 EDT,39.5629588,-77.0224657,
2020-03-14,Oakland,Michigan,6,,0,0.0,2020-03-14 12:04 EDT,42.74214,-83.16174000000001,
2020-03-14,Wayne,Michigan,6,,0,0.0,2020-03-14 12:04 EDT,42.28515,-83.3836,
2020-03-14,Kent,Michigan,3,,0,0.0,2020-03-14 12:04 EDT,43.032162,-85.54929820000001,
2020-03-14,Washtenaw,Michigan,3,,0,0.0,2020-03-14 12:04 EDT,42.2532294,-83.83877629999999,
2020-03-14,St. Clair,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,42.83189,-82.50220999999999,
2020-03-14,Ingham,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,42.5970924,-84.37353420000001,
2020-03-14,Montcalm,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,43.3109547,-85.1525018,
2020-03-14,Unassigned,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,43.326617999999996,-84.53609499999999,
2020-03-14,Bay,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,43.7073289,-83.99203709999999,
2020-03-14,Charlevoix,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,45.31653,-85.26071999999999,
2020-03-14,Macomb,Michigan,1,,0,0.0,2020-03-14 12:04 EDT,42.69565,-82.92171,
2020-03-14,Wake,North Carolina,9,,0,0.0,2020-03-14 12:04 EDT,35.7901085,-78.65039759999999,
2020-03-14,Unassigned,North Carolina,3,,0,0.0,2020-03-14 12:04 EDT,35.630066,-79.80641899999999,
2020-03-14,Forsyth,North Carolina,2,,0,0.0,2020-03-14 12:04 EDT,36.130537,-80.2563022,
2020-03-14,Chatham,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.7026299,-79.2554158,
2020-03-14,Durham,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.99542,-78.89644,
2020-03-14,Johnston,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.5176559,-78.3657386,
2020-03-14,Mecklenburg,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.2414779,-80.83080550000001,
2020-03-14,Cabarrus,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.2372,-80.5423,
2020-03-14,Onslow,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,34.7334689,-77.4296641,
2020-03-14,Wayne,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.3637623,-78.0041603,
2020-03-14,Harnett,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,35.34117,-78.78837,
2020-03-14,Brunswick,North Carolina,1,,0,0.0,2020-03-14 12:04 EDT,34.0705938,-78.2374968,
2020-03-14,Clark,Nevada,16,,0,0.0,2020-03-14 12:04 EDT,36.217099700000006,-115.0246913,
2020-03-14,Washoe,Nevada,3,,0,0.0,2020-03-14 12:04 EDT,40.6869602,-119.66599099999999,
2020-03-14,Ormsby,Nevada,1,,0,0.0,2020-03-14 12:04 EDT,,,
2020-03-14,Fond du Lac,Wisconsin,6,,0,0.0,2020-03-14 12:04 EDT,43.77302,-88.44709,
2020-03-14,Dane,Wisconsin,5,,0,0.0,2020-03-14 12:04 EDT,43.2509,-89.51829000000001,
2020-03-14,Sheboygan,Wisconsin,3,,0,0.0,2020-03-14 12:04 EDT,43.74978,-87.71343,
2020-03-14,Milwaukee,Wisconsin,2,,0,0.0,2020-03-14 12:04 EDT,43.042,-87.90687,
2020-03-14,Pierce,Wisconsin,1,,0,0.0,2020-03-14 12:04 EDT,44.72273320000001,-92.42192320000001,
2020-03-14,Waukesha,Wisconsin,1,,0,0.0,2020-03-14 12:04 EDT,43.01458,-88.23548000000001,
2020-03-14,Racine,Wisconsin,1,,0,0.0,2020-03-14 12:04 EDT,42.725640000000006,-87.78955,
2020-03-14,Johnson,Iowa,14,,0,0.0,2020-03-14 12:04 EDT,41.67149570000001,-91.5880542,
2020-03-14,Pottawattamie,Iowa,1,,0,0.0,2020-03-14 12:04 EDT,41.3366584,-95.5414196,
